,Party Affiliation,week,anxiety,new_cases
407,Heavily Red,2021-08-02/2021-08-08,7.360857142857142,850255
408,Moderate,2021-08-02/2021-08-08,7.312857142857142,850255
409,Red,2021-08-02/2021-08-08,7.165164835164835,850255
410,Blue,2021-08-09/2021-08-15,7.035494505494506,991598
411,Heavily Blue,2021-08-09/2021-08-15,7.752040816326531,991598
412,Heavily Red,2021-08-09/2021-08-15,7.412285714285715,991598
413,Moderate,2021-08-09/2021-08-15,7.365892857142858,991598
414,Red,2021-08-09/2021-08-15,7.224505494505494,991598
415,Blue,2021-08-16/2021-08-22,6.974615384615385,1052437
416,Heavily Blue,2021-08-16/2021-08-22,7.740816326530613,1052437
417,Heavily Red,2021-08-16/2021-08-22,7.412999999999999,1052437
418,Moderate,2021-08-16/2021-08-22,7.403571428571429,1052437
419,Red,2021-08-16/2021-08-22,7.219120879120879,1052437
420,Blue,2021-08-23/2021-08-29,7.029340659340659,1180574
421,Heavily Blue,2021-08-23/2021-08-29,7.759591836734694,1180574
422,Heavily Red,2021-08-23/2021-08-29,7.447857142857143,1180574
423,Moderate,2021-08-23/2021-08-29,7.416071428571429,1180574
424,Red,2021-08-23/2021-08-29,7.228241758241758,1180574
425,Blue,2021-08-30/2021-09-05,7.000659340659341,1083184
426,Heavily Blue,2021-08-30/2021-09-05,7.726938775510204,1083184
